Conv1 Area;Conv2 Area;Conv3 Area;FC1 Area; FC2 Area;Conv1 Pwr;Conv2 Pwr;Conv3 Pwr;FC1 Pwr;FC2 Pwr
97326.840;;;;346219.640;8066671.211;;;;27594876.801;
97326.840;540848.880;;454030.200;;8066671.211;38526250.243;;34944120.432;;
81045.120;;;473998.200;346219.640;5452905.279;;;35807418.000;27594876.801;
97326.840;;;369852.600;293056.920;8066671.211;;;29415133.609;18851748.926;
81045.120;;;;;5452905.279;;;;;
101821.720;;;446604.600;;7478052.130;;;32865669.942;;
107466.320;636757.680;;452530.520;;8107503.256;42811064.325;;38660242.141;;
107466.320;;;454030.200;293056.920;8107503.256;;;34944120.432;18851748.926;
97326.840;540848.880;;454030.200;;8066671.211;38526250.243;;34944120.432;;
81045.120;;;369852.600;;5452905.279;;;29415133.609;;
81045.120;;;369852.600;;5452905.279;;;29415133.609;;
