Error (%),Area (um²),Power (mW) 
89.26,725667000,528084
48.88,728999000,548761
0.87,746924000,598931
0.62,809711000,643451
0.46,739393000,569809
0.34,731971000,563760
0.22,814352000,648202
0.19,954848000,796789
0.16,936782000,770650
0.15,900953000,736031
0.13,950487000,789560
0.11,972207000,776805
0.07,970174000,784903
0.06,991700000,874038
0.04,970831000,859568
0.01,997270000,832993
0.01,1012520000,839570
-0.02,999642000,930959
-0.02,999642000,930959
-0.02,1007210000,824872
-0.03,1013030000,846977
-0.03,1033760000,872722
-0.03,1047900000,888697
-0.04,1012240000,945199
-0.08,1143840000,1014180 
