Error;Conv1 Area;Conv2 Area;Conv3 Area;FC1 Area; FC2 Area;Conv1 Pwr;Conv2 Pwr;Conv3 Pwr;FC1 Pwr;FC2 Pwr
0;168984.400;1076753.080;2740456.160;795630.680;587894.840;10845058.507;66138841.881;174492285.505;51093155.641;36413473.266;
0.102654;40978.600;320973.640;1559969.320;563542.200;587894.840;1646275.375;12636910.900;75420664.429;30190546.844;36413473.266;
-0.047348;71272.760;320973.640;1764727.120;188676.280;460703.880;3149194.084;12636910.900;89021361.397;7625791.968;25379839.938;
-0.0573502;71272.760;320973.640;2341453.920;795630.680;142699.960;3149194.084;12636910.900;136027224.409;51093155.641;5521215.211;
-0.0373459;60451.040;320973.640;1764727.120;331029.400;287251.120;2609471.799;12636910.900;89021361.397;14775607.291;13060390.823;
-0.0173492;50357.320;320973.640;2740456.160;386504.560;246901.720;2091897.268;12636910.900;174492285.505;18129654.503;10625326.611;
0.12265;40978.600;320973.640;1953642.080;280104.760;142699.960;1646275.375;12636910.900;103746746.382;12098085.407;5521215.211;
0.392654;40978.600;262182.440;1559969.320;386504.560;587894.840;1646275.375;10018574.575;75420664.429;18129654.503;36413473.266;
-0.0773468;83038.800;320973.640;1764727.120;440538.800;326590.160;3872103.806;12636910.900;89021361.397;21780000.249;15629564.378;








